Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
884: customers with PV,1674,3231,5124,7245,9333,11337,13190,14826,16162,17181,17968,18644,19226,19728,20167,20551,20892,21214,21525,21826,22117,22396,22664,22923,23174,23422,23668,23914,24159,24402,24644,24883,25121,25358,25592,25825
885: customers with PV,1674,3646,7176,12241,16420,18362,19440,20159,20753,21248,21692,22104,22482,22828,23147,23446,23728,23994,24246,24486,24716,24935,25144,25345,25539,25726,25907,26083,26254,26423,26594,26766,26941,27117,27296,27477
886: customers with PV,1674,8724,14997,17946,19322,20140,20784,21306,21770,22197,22587,22944,23271,23574,23858,24123,24373,24610,24834,25048,25253,25448,25636,25817,25992,26163,26329,26495,26663,26833,27005,27178,27354,27531,27710,27890
887: customers with PV,1674,3646,7176,12241,16420,18362,19440,20159,20753,21248,21692,22104,22482,22828,23147,23446,23728,23994,24237,24433,24593,24731,24856,24974,25086,25193,25297,25402,25519,25648,25794,25959,26133,26310,26488,26669
888: customers with PV,1674,8724,14997,17946,19322,20140,20784,21306,21770,22197,22587,22944,23271,23574,23858,24123,24373,24610,24817,24979,25105,25211,25307,25397,25484,25568,25651,25742,25849,25975,26118,26279,26454,26631,26810,26991
889: customers with PV,1674,2127,2926,4253,5978,7954,9896,11744,13465,15002,16248,17217,17979,18631,19199,19698,20140,20532,20882,21203,21516,21823,22124,22417,22703,22981,23251,23518,23784,24051,24317,24583,24848,25112,25375,25636
890: customers with PV,1674,3231,5124,7245,9333,11337,13190,14826,16162,17181,17968,18644,19226,19728,20167,20551,20895,21224,21545,21858,22163,22457,22742,23015,23284,23551,23817,24083,24346,24608,24868,25125,25380,25632,25882,26130
891: customers with PV,1674,2127,2926,4253,5978,7954,9896,11744,13465,15002,16248,17217,17979,18631,19199,19698,20140,20532,20882,21203,21516,21823,22124,22417,22703,22981,23251,23517,23783,24049,24315,24581,24845,25109,25371,25631
892: customers with PV,1674,3231,5124,7245,9333,11337,13190,14826,16162,17181,17968,18644,19226,19728,20167,20551,20895,21224,21545,21858,22162,22455,22737,23008,23274,23539,23804,24068,24331,24592,24852,25109,25363,25615,25864,26111
893: customers with PV,1674,3646,7176,12241,16420,18362,19440,20159,20753,21248,21692,22104,22482,22828,23147,23446,23728,23994,24246,24486,24717,24937,25148,25351,25546,25734,25916,26093,26265,26436,26609,26784,26961,27141,27322,27506
894: customers with PV,1674,8724,14997,17946,19322,20140,20784,21306,21770,22197,22587,22944,23271,23574,23858,24124,24375,24613,24840,25055,25261,25459,25648,25830,26006,26177,26344,26513,26684,26857,27031,27208,27386,27567,27749,27932
895: customers with PV,1674,3646,7176,12241,16420,18362,19440,20159,20753,21248,21692,22104,22482,22828,23147,23446,23728,23994,24237,24434,24594,24733,24860,24979,25092,25200,25304,25411,25527,25658,25806,25972,26149,26329,26510,26693
896: customers with PV,1674,8724,14997,17946,19322,20140,20784,21306,21770,22197,22587,22944,23271,23574,23858,24124,24375,24613,24823,24986,25113,25221,25318,25408,25495,25579,25663,25756,25866,25994,26139,26302,26480,26660,26841,27025
897: customers with PV,1674,2105,2824,4009,5550,7371,9236,11023,12705,14221,15533,16582,17407,18068,18646,19158,19614,20024,20395,20733,21043,21328,21599,21862,22119,22368,22612,22849,23081,23309,23531,23750,23964,24175,24383,24589
898: customers with PV,1674,3205,5025,7089,9124,11068,12866,14456,15803,16850,17653,18323,18905,19409,19853,20246,20597,20914,21203,21483,21754,22017,22271,22518,22757,22990,23217,23439,23655,23867,24076,24284,24491,24697,24903,25107
899: customers with PV,1674,2105,2824,4009,5550,7371,9236,11023,12705,14221,15533,16582,17407,18068,18646,19158,19614,20024,20395,20733,21043,21328,21599,21862,22119,22368,22612,22849,23081,23309,23531,23750,23964,24175,24383,24589
900: customers with PV,1674,3205,5025,7089,9124,11068,12866,14456,15803,16850,17653,18323,18905,19409,19853,20246,20597,20914,21203,21483,21754,22017,22271,22518,22757,22990,23217,23439,23655,23867,24076,24284,24491,24697,24903,25107
901: customers with PV,1674,3541,6688,11316,15580,17843,19091,19858,20470,20983,21417,21819,22191,22532,22848,23142,23418,23681,23932,24174,24407,24631,24847,25056,25259,25457,25650,25839,26024,26207,26387,26564,26740,26914,27088,27260
902: customers with PV,1674,8619,14701,17786,19200,20030,20669,21190,21640,22054,22434,22785,23107,23403,23680,23942,24190,24427,24652,24870,25079,25282,25478,25669,25855,26036,26215,26390,26563,26734,26903,27071,27238,27404,27570,27735
903: customers with PV,1674,3541,6688,11316,15580,17843,19091,19858,20470,20983,21417,21819,22191,22532,22848,23142,23418,23681,23932,24174,24407,24631,24847,25056,25259,25457,25650,25839,26024,26207,26387,26564,26740,26914,27088,27260
904: customers with PV,1674,8619,14701,17786,19200,20030,20669,21190,21640,22054,22434,22785,23107,23403,23680,23942,24190,24427,24652,24870,25079,25282,25478,25669,25855,26036,26215,26390,26563,26734,26903,27071,27238,27404,27570,27735
905: customers with PV,1674,2105,2824,4009,5550,7371,9236,11023,12705,14221,15533,16582,17407,18068,18646,19158,19614,20024,20395,20733,21043,21328,21599,21862,22119,22368,22612,22849,23081,23309,23531,23750,23964,24175,24383,24589
906: customers with PV,1674,3205,5025,7089,9124,11068,12866,14456,15803,16850,17653,18323,18905,19409,19853,20246,20597,20914,21203,21483,21754,22017,22271,22518,22757,22990,23217,23439,23655,23867,24076,24284,24491,24697,24903,25107
907: customers with PV,1674,2105,2824,4009,5550,7371,9236,11023,12705,14221,15533,16582,17407,18068,18646,19158,19614,20024,20395,20733,21043,21328,21599,21862,22119,22368,22612,22849,23081,23309,23531,23750,23964,24175,24383,24589
908: customers with PV,1674,3205,5025,7089,9124,11068,12866,14456,15803,16850,17653,18323,18905,19409,19853,20246,20597,20914,21203,21483,21754,22017,22271,22518,22757,22990,23217,23439,23655,23867,24076,24284,24491,24697,24903,25107
909: customers with PV,1674,3541,6688,11316,15580,17843,19091,19858,20470,20983,21417,21819,22191,22532,22848,23142,23418,23681,23932,24174,24407,24631,24847,25056,25259,25457,25650,25839,26024,26207,26387,26564,26740,26914,27088,27260
910: customers with PV,1674,8619,14701,17786,19200,20030,20669,21190,21640,22054,22434,22785,23107,23403,23680,23942,24190,24427,24652,24870,25079,25282,25478,25669,25855,26036,26215,26390,26563,26734,26903,27071,27238,27404,27570,27735
911: customers with PV,1674,3541,6688,11316,15580,17843,19091,19858,20470,20983,21417,21819,22191,22532,22848,23142,23418,23681,23932,24174,24407,24631,24847,25056,25259,25457,25650,25839,26024,26207,26387,26564,26740,26914,27088,27260
912: customers with PV,1674,8619,14701,17786,19200,20030,20669,21190,21640,22054,22434,22785,23107,23403,23680,23942,24190,24427,24652,24870,25079,25282,25478,25669,25855,26036,26215,26390,26563,26734,26903,27071,27238,27404,27570,27735
913: customers with PV,1674,2109,2845,4066,5647,7514,9407,11208,12901,14424,15725,16757,17566,18225,18804,19315,19772,20181,20551,20888,21197,21486,21767,22040,22305,22564,22817,23064,23306,23543,23775,24004,24228,24452,24677,24901
914: customers with PV,1674,3210,5048,7127,9174,11134,12945,14547,15896,16939,17739,18412,18997,19503,19948,20342,20694,21010,21306,21593,21872,22142,22404,22658,22905,23146,23380,23609,23834,24057,24280,24502,24723,24945,25167,25389
915: customers with PV,1674,2109,2845,4066,5647,7514,9407,11208,12901,14424,15725,16757,17566,18225,18804,19315,19772,20181,20551,20888,21197,21486,21767,22040,22305,22564,22817,23064,23306,23543,23775,24004,24228,24452,24677,24901
916: customers with PV,1674,3210,5048,7127,9174,11134,12945,14547,15896,16939,17739,18412,18997,19503,19948,20342,20694,21010,21306,21593,21872,22142,22404,22658,22905,23146,23380,23609,23834,24057,24280,24502,24723,24945,25167,25389
917: customers with PV,1674,3562,6786,11521,15813,17989,19191,19940,20549,21058,21495,21901,22276,22621,22940,23237,23518,23785,24041,24286,24523,24751,24971,25184,25390,25592,25789,25982,26171,26358,26542,26724,26905,27084,27262,27440
918: customers with PV,1674,8640,14764,17822,19230,20058,20700,21223,21676,22096,22479,22833,23159,23458,23740,24005,24257,24497,24726,24946,25159,25365,25564,25758,25947,26132,26313,26492,26669,26844,27017,27190,27361,27533,27704,27875
919: customers with PV,1674,3562,6786,11521,15813,17989,19191,19940,20549,21058,21495,21901,22276,22621,22940,23237,23518,23785,24041,24286,24523,24751,24971,25184,25390,25592,25789,25982,26171,26358,26542,26724,26905,27084,27262,27440
920: customers with PV,1674,8640,14764,17822,19230,20058,20700,21223,21676,22096,22479,22833,23159,23458,23740,24005,24257,24497,24726,24946,25159,25365,25564,25758,25947,26132,26313,26492,26669,26844,27017,27190,27361,27533,27704,27875
921: customers with PV,1674,2109,2845,4066,5647,7514,9407,11208,12901,14424,15725,16757,17566,18225,18804,19315,19772,20181,20551,20888,21197,21486,21767,22040,22305,22564,22817,23064,23306,23543,23775,24004,24228,24452,24677,24901
922: customers with PV,1674,3210,5048,7127,9174,11134,12945,14547,15896,16939,17739,18412,18997,19503,19948,20342,20694,21010,21306,21593,21872,22142,22404,22658,22905,23146,23380,23609,23834,24057,24280,24502,24724,24948,25173,25399
923: customers with PV,1674,2109,2845,4066,5647,7514,9407,11208,12901,14424,15725,16757,17566,18225,18804,19315,19772,20181,20551,20888,21197,21486,21767,22040,22305,22564,22817,23064,23306,23543,23775,24004,24228,24452,24677,24901
924: customers with PV,1674,3210,5048,7127,9174,11134,12945,14547,15896,16939,17739,18412,18997,19503,19948,20342,20694,21010,21306,21593,21872,22142,22404,22658,22905,23146,23380,23609,23834,24057,24280,24502,24724,24948,25173,25399
925: customers with PV,1674,3562,6786,11521,15813,17989,19191,19940,20549,21058,21495,21901,22276,22621,22940,23237,23518,23785,24041,24286,24523,24751,24971,25184,25390,25592,25789,25982,26171,26358,26542,26724,26905,27084,27262,27440
926: customers with PV,1674,8640,14764,17822,19230,20058,20700,21223,21676,22096,22479,22833,23159,23458,23740,24005,24257,24497,24726,24946,25159,25365,25564,25758,25947,26132,26313,26492,26669,26844,27017,27190,27362,27534,27706,27877
927: customers with PV,1674,3562,6786,11521,15813,17989,19191,19940,20549,21058,21495,21901,22276,22621,22940,23237,23518,23785,24041,24286,24523,24751,24971,25184,25390,25592,25789,25982,26171,26358,26542,26724,26905,27084,27262,27440
928: customers with PV,1674,8640,14764,17822,19230,20058,20700,21223,21676,22096,22479,22833,23159,23458,23740,24005,24257,24497,24726,24946,25159,25365,25564,25758,25947,26132,26313,26492,26669,26844,27017,27190,27362,27534,27706,27877
929: customers with PV,1674,2116,2877,4146,5787,7702,9613,11425,13121,14640,15913,16915,17696,18345,18913,19414,19859,20257,20616,20940,21238,21523,21798,22065,22324,22576,22820,23058,23290,23516,23737,23954,24169,24383,24595,24803
930: customers with PV,1674,3218,5079,7176,9240,11215,13040,14649,15989,17019,17809,18479,19059,19559,19997,20385,20729,21038,21332,21616,21891,22156,22413,22661,22901,23134,23360,23581,23799,24015,24230,24444,24656,24866,25075,25278
931: customers with PV,1674,2116,2877,4146,5787,7702,9613,11425,13121,14640,15913,16915,17696,18345,18913,19414,19859,20257,20616,20940,21238,21522,21794,22053,22298,22530,22748,22954,23151,23338,23516,23687,23854,24017,24176,24330
932: customers with PV,1674,3218,5079,7176,9240,11215,13040,14649,15989,17019,17809,18479,19059,19559,19997,20385,20729,21038,21332,21616,21891,22156,22407,22644,22869,23080,23278,23465,23646,23821,23992,24159,24321,24479,24633,24782
933: customers with PV,1674,3595,6942,11810,16065,18144,19292,20023,20623,21123,21558,21962,22334,22675,22989,23282,23558,23820,24070,24309,24538,24758,24970,25174,25371,25563,25749,25931,26110,26284,26456,26625,26774,26897,26994,27067
934: customers with PV,1674,8671,14850,17866,19263,20087,20728,21249,21704,22124,22507,22859,23182,23480,23758,24020,24268,24503,24726,24941,25147,25345,25537,25722,25902,26078,26250,26419,26585,26749,26911,27070,27209,27323,27411,27476
935: customers with PV,1674,3595,6942,11810,16065,18144,19292,20023,20623,21123,21558,21962,22334,22675,22989,23282,23558,23820,24070,24309,24519,24685,24813,24906,24962,24982,24975,24946,24903,24848,24777,24687,24579,24456,24319,24169
936: customers with PV,1674,8671,14850,17866,19263,20087,20728,21249,21704,22124,22507,22859,23182,23480,23758,24020,24268,24503,24726,24941,25122,25261,25364,25432,25465,25464,25438,25391,25331,25261,25176,25072,24951,24816,24668,24508
937: customers with PV,1674,2116,2877,4146,5787,7702,9613,11425,13121,14640,15913,16915,17696,18345,18913,19414,19859,20257,20616,20940,21238,21523,21798,22065,22324,22576,22820,23058,23290,23516,23737,23954,24169,24383,24595,24803
938: customers with PV,1674,3218,5079,7176,9240,11215,13040,14649,15989,17019,17809,18479,19059,19559,19997,20385,20729,21038,21332,21616,21891,22156,22413,22661,22901,23134,23360,23581,23799,24015,24230,24444,24656,24866,25075,25280
939: customers with PV,1674,2116,2877,4146,5787,7702,9613,11425,13121,14640,15913,16915,17696,18345,18913,19414,19859,20257,20616,20940,21238,21522,21794,22053,22298,22529,22746,22949,23140,23320,23489,23648,23802,23948,24088,24219
940: customers with PV,1674,3218,5079,7176,9240,11215,13040,14649,15989,17019,17809,18479,19059,19559,19997,20385,20729,21038,21332,21616,21891,22156,22407,22644,22869,23079,23275,23458,23634,23802,23964,24118,24267,24408,24543,24670
941: customers with PV,1674,3595,6942,11810,16065,18144,19292,20023,20623,21123,21558,21962,22334,22675,22989,23282,23558,23820,24070,24309,24538,24758,24970,25174,25371,25563,25749,25931,26110,26284,26456,26625,26774,26897,26994,27067
942: customers with PV,1674,8671,14850,17866,19263,20087,20728,21249,21704,22124,22507,22859,23182,23480,23758,24020,24268,24503,24726,24941,25147,25345,25537,25722,25902,26078,26250,26419,26585,26749,26911,27070,27209,27323,27412,27477
943: customers with PV,1674,3595,6942,11810,16065,18144,19292,20023,20623,21123,21558,21962,22334,22675,22989,23282,23558,23820,24070,24309,24519,24685,24813,24905,24959,24975,24961,24921,24865,24792,24701,24584,24443,24281,24100,23899
944: customers with PV,1674,8671,14850,17866,19263,20087,20728,21249,21704,22124,22507,22859,23182,23480,23758,24020,24268,24503,24726,24941,25122,25261,25364,25431,25462,25457,25424,25367,25295,25209,25104,24974,24822,24651,24460,24251
945: customers with PV,1674,2120,2901,4206,5901,7856,9785,11618,13328,14861,16119,17104,17875,18527,19098,19600,20047,20446,20804,21128,21435,21734,22023,22304,22577,22842,23100,23352,23598,23842,24086,24330,24574,24819,25064,25309
946: customers with PV,1674,3223,5100,7212,9291,11284,13126,14752,16092,17119,17910,18585,19168,19672,20113,20502,20847,21163,21468,21763,22049,22326,22594,22855,23108,23353,23596,23837,24078,24319,24559,24798,25037,25276,25514,25752
947: customers with PV,1674,2120,2901,4206,5901,7856,9785,11618,13328,14861,16119,17104,17875,18527,19098,19600,20047,20446,20804,21128,21435,21734,22023,22304,22577,22842,23100,23352,23598,23842,24086,24330,24574,24819,25064,25309
948: customers with PV,1674,3223,5100,7212,9291,11284,13126,14752,16092,17119,17910,18585,19168,19672,20113,20502,20847,21163,21468,21763,22049,22326,22594,22855,23108,23353,23596,23837,24078,24319,24559,24798,25037,25276,25514,25752
949: customers with PV,1674,3616,7058,12043,16269,18276,19385,20107,20706,21203,21645,22054,22432,22778,23097,23396,23679,23947,24202,24446,24681,24906,25122,25330,25532,25727,25918,26104,26286,26465,26641,26814,26986,27160,27337,27516
950: customers with PV,1674,8693,14919,17908,19297,20119,20763,21285,21747,22172,22560,22917,23245,23548,23832,24099,24351,24590,24818,25037,25247,25449,25644,25834,26018,26197,26373,26546,26716,26883,27052,27223,27397,27573,27751,27932
951: customers with PV,1674,3616,7058,12043,16269,18276,19385,20107,20706,21203,21645,22054,22432,22778,23097,23396,23679,23947,24202,24446,24681,24906,25122,25330,25532,25727,25918,26104,26286,26465,26641,26814,26986,27160,27337,27516
952: customers with PV,1674,8693,14919,17908,19297,20119,20763,21285,21747,22172,22560,22917,23245,23548,23832,24099,24351,24590,24818,25037,25247,25449,25644,25834,26018,26197,26373,26546,26716,26883,27052,27223,27397,27573,27751,27932
953: customers with PV,1674,2120,2901,4206,5901,7856,9785,11618,13328,14861,16119,17104,17875,18527,19098,19600,20047,20446,20804,21128,21435,21734,22023,22304,22577,22842,23100,23355,23606,23858,24111,24366,24622,24880,25140,25401
954: customers with PV,1674,3223,5100,7212,9291,11284,13126,14752,16092,17119,17910,18585,19168,19672,20113,20502,20847,21163,21468,21763,22049,22328,22601,22868,23129,23383,23636,23889,24143,24397,24652,24906,25161,25417,25672,25927
955: customers with PV,1674,2120,2901,4206,5901,7856,9785,11618,13328,14861,16119,17104,17875,18527,19098,19600,20047,20446,20804,21128,21435,21734,22023,22304,22577,22842,23100,23355,23606,23858,24111,24366,24622,24880,25140,25401
956: customers with PV,1674,3223,5100,7212,9291,11284,13126,14752,16092,17119,17910,18585,19168,19672,20113,20502,20847,21163,21468,21763,22049,22328,22601,22868,23129,23383,23636,23889,24143,24397,24652,24906,25161,25417,25672,25927
957: customers with PV,1674,3616,7058,12043,16269,18276,19385,20107,20706,21203,21645,22054,22432,22778,23097,23396,23679,23947,24202,24446,24681,24906,25122,25330,25532,25727,25918,26105,26288,26468,26645,26820,26993,27169,27348,27530
958: customers with PV,1674,8693,14919,17908,19297,20119,20763,21285,21747,22172,22560,22917,23245,23548,23832,24099,24351,24590,24818,25037,25247,25450,25647,25837,26022,26203,26379,26553,26724,26893,27064,27237,27413,27592,27773,27957
959: customers with PV,1674,3616,7058,12043,16269,18276,19385,20107,20706,21203,21645,22054,22432,22778,23097,23396,23679,23947,24202,24446,24681,24906,25122,25330,25532,25727,25918,26105,26288,26468,26645,26820,26993,27169,27348,27530
960: customers with PV,1674,8693,14919,17908,19297,20119,20763,21285,21747,22172,22560,22917,23245,23548,23832,24099,24351,24590,24818,25037,25247,25450,25647,25837,26022,26203,26379,26553,26724,26893,27064,27237,27413,27592,27773,27957
961: customers with PV,1674,2116,2878,4149,5793,7714,9628,11444,13144,14668,15942,16943,17724,18375,18944,19446,19892,20291,20649,20973,21271,21559,21837,22106,22367,22620,22866,23105,23333,23548,23749,23939,24122,24299,24471,24638
962: customers with PV,1674,3218,5080,7178,9244,11222,13050,14664,16004,17035,17826,18497,19078,19579,20018,20406,20750,21060,21356,21642,21918,22186,22444,22693,22934,23168,23395,23616,23829,24033,24228,24412,24590,24761,24928,25090
963: customers with PV,1674,2116,2878,4149,5793,7714,9628,11444,13144,14668,15942,16943,17724,18375,18944,19446,19892,20291,20649,20971,21259,21527,21779,22016,22241,22453,22654,22844,23023,23191,23347,23494,23634,23765,23888,24001
964: customers with PV,1674,3218,5080,7178,9244,11222,13050,14664,16004,17035,17826,18497,19078,19579,20018,20406,20750,21060,21356,21638,21901,22147,22376,22591,22793,22984,23165,23335,23499,23657,23807,23948,24081,24205,24320,24424
965: customers with PV,1674,3596,6948,11830,16089,18163,19305,20036,20636,21136,21573,21978,22351,22693,23008,23302,23579,23842,24093,24332,24561,24782,24993,25196,25393,25581,25728,25826,25884,25901,25880,25833,25768,25691,25600,25492
966: customers with PV,1674,8673,14858,17872,19268,20092,20734,21255,21712,22133,22517,22870,23194,23492,23772,24034,24283,24518,24741,24955,25161,25359,25550,25734,25913,26081,26204,26279,26315,26310,26271,26208,26129,26040,25940,25823
967: customers with PV,1674,3596,6948,11830,16089,18163,19305,20036,20636,21136,21573,21978,22351,22693,23008,23302,23579,23842,24076,24235,24326,24370,24383,24372,24341,24286,24203,24094,23963,23807,23621,23405,23163,22895,22601,22283
968: customers with PV,1674,8673,14858,17872,19268,20092,20734,21255,21712,22133,22517,22870,23194,23492,23772,24034,24283,24518,24716,24840,24894,24907,24890,24853,24798,24718,24612,24481,24329,24152,23947,23711,23450,23165,22857,22527
969: customers with PV,1674,2116,2878,4149,5793,7714,9628,11444,13144,14668,15942,16943,17724,18375,18944,19446,19892,20291,20649,20973,21271,21559,21837,22106,22367,22620,22866,23105,23333,23548,23748,23936,24114,24283,24444,24599
970: customers with PV,1674,3218,5080,7178,9244,11222,13050,14664,16004,17035,17826,18497,19078,19579,20018,20406,20750,21060,21356,21642,21918,22186,22444,22693,22934,23168,23395,23616,23829,24035,24231,24416,24592,24760,24921,25075
971: customers with PV,1674,2116,2878,4149,5793,7714,9628,11444,13144,14668,15942,16943,17724,18375,18944,19446,19892,20291,20649,20971,21259,21527,21777,22011,22229,22434,22625,22801,22962,23108,23240,23356,23460,23549,23625,23686
972: customers with PV,1674,3218,5080,7178,9244,11222,13050,14664,16004,17035,17826,18497,19078,19579,20018,20406,20750,21060,21356,21638,21901,22146,22373,22584,22780,22963,23133,23289,23435,23572,23699,23812,23912,23999,24071,24127
973: customers with PV,1674,3596,6948,11830,16089,18163,19305,20036,20636,21136,21573,21978,22351,22693,23008,23302,23579,23842,24093,24332,24561,24782,24993,25196,25393,25581,25728,25826,25883,25897,25870,25812,25733,25639,25526,25390
974: customers with PV,1674,8673,14858,17872,19268,20092,20734,21255,21712,22133,22517,22870,23194,23492,23772,24034,24283,24518,24741,24955,25161,25359,25550,25734,25913,26081,26204,26279,26314,26306,26262,26188,26096,25991,25869,25727
975: customers with PV,1674,3596,6948,11830,16089,18163,19305,20036,20636,21136,21573,21978,22351,22693,23008,23302,23579,23842,24076,24235,24324,24364,24370,24348,24303,24230,24123,23983,23815,23615,23377,23099,22785,22439,22057,21643
976: customers with PV,1674,8673,14858,17872,19268,20092,20734,21255,21712,22133,22517,22870,23194,23492,23772,24034,24283,24518,24716,24839,24892,24900,24877,24829,24761,24664,24534,24373,24186,23967,23710,23414,23083,22721,22327,21901
977: customers with PV,1674,2120,2900,4204,5896,7849,9777,11608,13317,14847,16105,17090,17860,18510,19079,19580,20024,20422,20778,21101,21404,21698,21983,22259,22527,22787,23040,23287,23527,23761,23993,24224,24454,24684,24913,25142
978: customers with PV,1674,3223,5100,7212,9291,11283,13125,14750,16089,17115,17905,18578,19160,19663,20102,20490,20834,21148,21450,21742,22024,22298,22562,22818,23066,23307,23542,23776,24008,24239,24469,24698,24926,25152,25378,25603
979: customers with PV,1674,2120,2900,4204,5896,7849,9777,11608,13317,14847,16105,17090,17860,18510,19079,19580,20024,20422,20778,21101,21404,21698,21983,22259,22527,22787,23040,23287,23527,23761,23993,24224,24454,24684,24913,25142
980: customers with PV,1674,3223,5100,7212,9291,11283,13125,14750,16089,17115,17905,18578,19160,19663,20102,20490,20834,21148,21450,21742,22024,22298,22562,22818,23066,23307,23542,23776,24008,24239,24469,24698,24926,25152,25378,25603
981: customers with PV,1674,3617,7058,12045,16271,18277,19385,20107,20704,21201,21642,22050,22427,22771,23089,23386,23667,23934,24187,24430,24662,24886,25100,25307,25508,25702,25892,26077,26259,26438,26614,26788,26960,27131,27301,27470
982: customers with PV,1674,8694,14923,17910,19299,20120,20764,21286,21747,22171,22559,22915,23242,23544,23826,24092,24343,24581,24808,25025,25235,25436,25630,25819,26002,26181,26357,26530,26700,26868,27035,27200,27366,27533,27702,27874
983: customers with PV,1674,3617,7058,12045,16271,18277,19385,20107,20704,21201,21642,22050,22427,22771,23089,23386,23667,23934,24187,24430,24662,24886,25100,25307,25508,25702,25892,26077,26259,26438,26614,26788,26960,27131,27301,27470
984: customers with PV,1674,8694,14923,17910,19299,20120,20764,21286,21747,22171,22559,22915,23242,23544,23826,24092,24343,24581,24808,25025,25235,25436,25630,25819,26002,26181,26357,26530,26700,26868,27035,27200,27366,27533,27702,27874
985: customers with PV,1674,2120,2900,4204,5896,7849,9777,11608,13317,14847,16105,17090,17860,18510,19079,19580,20024,20422,20778,21101,21404,21698,21983,22259,22527,22787,23040,23287,23527,23761,23993,24224,24456,24689,24923,25157
986: customers with PV,1674,3223,5100,7212,9291,11283,13125,14750,16089,17115,17905,18578,19160,19663,20102,20490,20834,21148,21450,21742,22024,22298,22562,22819,23070,23315,23556,23796,24036,24275,24513,24751,24988,25224,25459,25694
987: customers with PV,1674,2120,2900,4204,5896,7849,9777,11608,13317,14847,16105,17090,17860,18510,19079,19580,20024,20422,20778,21101,21404,21698,21983,22259,22527,22787,23040,23287,23527,23761,23993,24224,24456,24689,24923,25157
988: customers with PV,1674,3223,5100,7212,9291,11283,13125,14750,16089,17115,17905,18578,19160,19663,20102,20490,20834,21148,21450,21742,22024,22298,22562,22819,23070,23315,23556,23796,24036,24275,24513,24751,24988,25224,25459,25694
989: customers with PV,1674,3617,7058,12045,16271,18277,19385,20107,20704,21201,21642,22050,22427,22771,23089,23386,23667,23934,24187,24430,24662,24886,25100,25307,25508,25702,25892,26077,26259,26438,26614,26789,26961,27133,27303,27473
990: customers with PV,1674,8694,14923,17910,19299,20120,20764,21286,21747,22171,22559,22915,23242,23544,23826,24092,24343,24581,24808,25025,25235,25436,25631,25820,26004,26184,26360,26533,26704,26873,27040,27206,27374,27543,27713,27886
991: customers with PV,1674,3617,7058,12045,16271,18277,19385,20107,20704,21201,21642,22050,22427,22771,23089,23386,23667,23934,24187,24430,24662,24886,25100,25307,25508,25702,25892,26077,26259,26438,26614,26789,26961,27133,27303,27473
992: customers with PV,1674,8694,14923,17910,19299,20120,20764,21286,21747,22171,22559,22915,23242,23544,23826,24092,24343,24581,24808,25025,25235,25436,25631,25820,26004,26184,26360,26533,26704,26873,27040,27206,27374,27543,27713,27886
993: customers with PV,1674,2127,2936,4285,6035,8024,9966,11810,13520,15043,16273,17228,17980,18620,19179,19669,20102,20487,20831,21140,21423,21685,21929,22158,22373,22572,22755,22921,23072,23209,23331,23441,23539,23623,23692,23747
994: customers with PV,1674,3231,5131,7258,9353,11362,13216,14849,16178,17192,17974,18643,19220,19716,20149,20529,20864,21176,21475,21758,22016,22254,22475,22681,22873,23051,23218,23373,23516,23646,23759,23860,23947,24020,24077,24119
995: customers with PV,1674,2127,2936,4285,6035,8024,9966,11810,13520,15043,16273,17228,17980,18620,19179,19659,20068,20420,20725,20989,21233,21456,21660,21843,22003,22146,22268,22367,22447,22511,22559,22591,22607,22608,22594,22566
996: customers with PV,1674,3231,5131,7258,9353,11362,13216,14849,16178,17192,17974,18643,19220,19716,20148,20515,20822,21098,21356,21594,21813,22012,22190,22347,22484,22603,22706,22792,22863,22918,22955,22976,22980,22969,22942,22900
997: customers with PV,1674,3648,7215,12338,16490,18402,19466,20179,20769,21259,21699,22105,22479,22819,23132,23425,23701,23962,24178,24299,24342,24343,24315,24248,24144,23997,23801,23553,23252,22905,22525,22099,21634,21138,20613,20064
998: customers with PV,1674,8726,15007,17957,19333,20149,20792,21313,21775,22200,22586,22941,23265,23564,23843,24105,24351,24583,24763,24848,24858,24830,24773,24679,24549,24376,24155,23883,23558,23196,22805,22369,21894,21386,20851,20290
999: customers with PV,1674,3648,7215,12338,16490,18402,19466,20179,20769,21259,21699,22105,22479,22819,23090,23240,23318,23356,23342,23269,23127,22923,22654,22343,21987,21574,21107,20593,20042,19457,18839,18192,17528,16854,16173,15488
1000: customers with PV,1674,8726,15007,17957,19333,20149,20792,21313,21775,22200,22586,22941,23265,23564,23790,23896,23935,23935,23885,23773,23595,23353,23049,22707,22318,21875,21380,20840,20265,19662,19031,18374,17701,17018,16327,15632
1001: customers with PV,1674,2127,2936,4285,6035,8024,9966,11810,13520,15043,16273,17228,17980,18620,19179,19669,20102,20487,20831,21140,21423,21683,21922,22143,22347,22531,22693,22834,22952,23052,23131,23190,23229,23244,23233,23194
1002: customers with PV,1674,3231,5131,7258,9353,11362,13216,14849,16178,17192,17974,18643,19220,19716,20149,20529,20864,21176,21475,21758,22016,22253,22472,22676,22862,23031,23185,23321,23439,23537,23612,23665,23695,23698,23673,23620
