Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
56: defectors,1,265,461,572,658,739,820,902,1064,1334,1664,2091,2634,3237,3906,4638,5406,6185,6975,7786,8607,9419,10214,10991,11748,12485,13203,13898,14564,15199,15807,16386,16929,17438,17920,18360
57: defectors,1,101,203,307,413,518,622,726,828,928,1025,1123,1244,1385,1540,1711,1891,2077,2270,2475,2691,2913,3141,3373,3610,3852,4098,4347,4597,4846,5094,5341,5586,5824,6053,6274
58: defectors,1,100,201,301,402,501,599,695,788,880,972,1079,1213,1363,1521,1691,1871,2058,2254,2461,2680,2907,3140,3377,3620,3867,4119,4374,4629,4883,5136,5388,5636,5879,6112,6334
59: defectors,1,101,203,307,413,518,622,726,828,933,1056,1196,1362,1553,1770,2010,2266,2534,2816,3118,3438,3770,4112,4464,4826,5198,5579,5967,6359,6752,7148,7543,7933,8317,8694,9056
60: defectors,1,100,201,301,402,501,599,695,788,893,1017,1169,1349,1552,1776,2017,2277,2550,2838,3146,3471,3811,4161,4522,4893,5274,5664,6061,6462,6865,7269,7673,8071,8462,8845,9213
61: defectors,1,280,543,760,900,997,1083,1168,1255,1342,1448,1673,1981,2334,2740,3200,3704,4233,4789,5391,6028,6677,7328,7976,8618,9255,9883,10498,11092,11662,12210,12733,13224,13681,14098,14475
62: defectors,1,265,461,572,658,739,820,902,986,1073,1189,1435,1757,2125,2541,3014,3530,4071,4640,5254,5902,6561,7222,7880,8532,9179,9817,10443,11045,11624,12180,12711,13208,13671,14094,14476
63: defectors,1,280,543,760,900,997,1083,1168,1314,1574,1895,2317,2863,3489,4196,4988,5837,6717,7629,8585,9575,10574,11573,12566,13551,14525,15488,16432,17346,18226,19073,19882,20643,21361,22026,22628
64: defectors,1,265,461,572,658,739,820,902,1065,1338,1677,2122,2696,3342,4071,4884,5752,6649,7577,8547,9548,10559,11568,12571,13566,14552,15524,16479,17403,18292,19148,19966,20734,21458,22129,22736
65: defectors,1,101,203,308,414,521,627,733,837,945,1071,1221,1408,1624,1871,2144,2438,2751,3085,3443,3826,4229,4652,5094,5556,6037,6540,7062,7604,8165,8745,9345,9963,10598,11250,11918
