Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
26: regular customers,45674,38736.68461,32623.53965,29957.21668,28894.73004,28397.22311,28077.98495,27883.88492,27748.47358,27652.71474,27597.73344,27577.11088,27587.92411,27625.88858,27686.10008,27765.74445,27862.13139,27974.26229,28100.45844,28238.56026,28387.09856,28546.12109,28715.05107,28892.97119,29079.18143,29272.80767,29473.0596,29679.27785,29890.46194,30103.59827,30318.23541,30534.39984,30752.17296,30971.61244,31192.74689,31415.60745
27: regular customers,45674,43798.8655,40284.42376,35201.62935,31336.60955,29791.01559,29076.58231,28692.47518,28434.59392,28275.90093,28167.3937,28094.39928,28056.77507,28055.17831,28082.52892,28131.89967,28200.61607,28286.99931,28389.25703,28504.90992,28631.87352,28770.76363,28921.13023,29081.93454,29252.21893,29431.02429,29617.52892,29811.05368,30011.04091,30216.92632,30428.17735,30644.38962,30865.12237,31087.90038,31312.25005,31538.20134
28: regular customers,45674,38736.68461,32623.53965,29957.21668,28894.73004,28397.22311,28077.98495,27883.88492,27748.47358,27652.71474,27597.73344,27577.15736,27588.15434,27626.43337,27687.03066,27767.23322,27864.24769,27976.94574,28103.69688,28242.3553,28391.52373,28551.19824,28720.7564,28899.23387,29085.69426,29279.50728,29479.96173,29686.39635,29898.18608,30112.57741,30328.50895,30546.00033,30765.12833,30985.94916,31208.48766,31432.76626
29: regular customers,45674,43798.8655,40284.42376,35201.62935,31336.60955,29791.01559,29076.58231,28692.47518,28434.59392,28275.90093,28167.3937,28094.34984,28056.51189,28054.54565,28081.43334,28130.29781,28198.49672,28284.35225,28386.09048,28500.95123,28627.05758,28765.17802,28914.75473,29074.85975,29244.42337,29422.5037,29608.29044,29801.0913,30000.41278,30205.69578,30416.47445,30632.42287,30851.85299,31072.72939,31295.10577,31519.03111
30: regular customers,45674,38736.68461,32623.53965,29957.21668,28894.73004,28397.22311,28077.98495,27883.88492,27748.47358,27652.71474,27597.73344,27577.11088,27587.92411,27625.88858,27686.10029,27765.74733,27862.14146,27974.28455,28100.49843,28238.57673,28386.74759,28545.20953,28713.53673,28890.85592,29076.49989,29269.61899,29469.43352,29675.28866,29885.84919,30098.1039,30311.84075,30527.09851,30743.97417,30962.5352,31182.8069,31404.83104
31: regular customers,45674,43798.8655,40284.42376,35201.62935,31336.60955,29791.01559,29076.58231,28692.47518,28434.59392,28275.90093,28167.3937,28094.3995,28056.77928,28055.19446,28082.56847,28131.9666,28200.66603,28286.97819,28389.09104,28504.5276,28631.20837,28769.76143,28919.81237,29080.32047,29250.32641,29428.91855,29615.26133,29808.68996,30008.68233,30214.64509,30426.04069,30642.46082,30863.21849,31085.81934,31310.00977,31535.85243
32: regular customers,45674,38736.68461,32623.53965,29957.21668,28894.73004,28397.22311,28077.98495,27883.88492,27748.47358,27652.71474,27597.73344,27577.15754,27588.15737,27626.445,27687.05932,27767.28583,27864.30029,27976.95537,28103.61954,28242.12281,28390.91351,28550.04241,28719.03709,28896.98922,29082.97824,29276.30803,29476.38041,29682.53885,29894.00982,30107.73503,30323.03213,30539.93474,30758.54193,30978.93154,31201.1454,31425.22342
33: regular customers,45674,45474.32466,44802.80381,43476.83803,41728.4052,39904.79173,38155.7623,36526.62507,35092.78435,33953.11481,33179.47921,32657.61645,32256.75044,31961.8722,31756.09493,31627.89398,31563.77787,31536.00779,31525.74941,31531.49374,31552.44365,31589.82135,31643.50254,31710.28163,31782.81729,31860.812,31944.39806,32033.72902,32129.00746,32230.32913,32337.74425,32451.33864,32571.25689,32697.15069,32828.16653,32964.395
34: regular customers,45674,44367.4125,42639.89086,40715.97051,38811.47872,36991.49272,35359.91436,34000.41173,33031.54519,32396.16712,31942.45021,31595.30892,31341.07353,31180.21001,31094.08781,31053.88268,31033.39761,31032.11957,31049.07024,31082.39549,31131.23846,31193.13686,31261.20552,31335.33554,31415.58742,31502.00489,31594.63936,31693.56528,31798.90715,31910.68671,32028.88384,32152.80164,32281.83014,32416.1008,32555.69687,32700.69136
35: regular customers,45674,45474.32466,44802.80381,43476.83803,41728.4052,39904.79173,38155.7623,36526.62507,35092.78709,33953.21027,33179.71972,32657.71304,32256.78501,31962.11136,31756.24502,31628.13629,31564.19894,31536.69753,31526.7653,31532.89729,31554.30413,31592.1706,31646.43533,31713.99115,31787.44147,31866.45134,31951.15408,32041.70398,32138.3047,32241.05062,32349.98928,32465.20387,32586.83672,32714.66754,32847.77121,32986.19374
