Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
26: customers with PV,1674,8731.350674,15032.13709,17972.79264,19341.60055,20156.0187,20795.78531,21312.89873,21772.66191,22194.03342,22576.12074,22924.90404,23243.51291,23490.82945,23627.00382,23684.7669,23703.01546,23687.58241,23634.69248,23537.82087,23396.42139,23221.7347,23017.68386,22787.33737,22526.714,22232.41412,21908.9207,21569.21891,21219.88165,20859.95345,20479.98936,20080.33651,19667.78228,19246.86885,18818.86235,18384.97115
27: customers with PV,1674,3654.241309,7291.285998,12539.00319,16640.13822,18480.47272,19506.95729,20209.93428,20789.51137,21272.32095,21700.79127,21983.43563,22147.58437,22232.29836,22235.65426,22153.74893,21996.48979,21786.21627,21538.84642,21237.47715,20881.45518,20491.19423,20075.23195,19637.65814,19179.70869,18701.4147,18203.99797,17690.93179,17170.37461,16642.73337,16105.77839,15560.68048,15013.88763,14471.48706,13934.72381,13404.29064
28: customers with PV,1674,8731.350674,15032.13709,17972.79264,19341.60055,20156.0187,20795.78531,21312.89873,21772.66191,22194.03342,22567.01204,22783.64011,22889.14574,22921.29423,22876.60355,22745.95744,22539.19405,22284.49045,21996.05427,21652.10377,21255.59529,20827.59585,20376.75115,19907.0704,19419.6396,18914.3329,18392.26755,17856.82414,17316.18553,16772.68185,16224.32582,15671.63544,15120.21325,14573.61352,14032.61476,13497.92712
29: customers with PV,1674,3654.241309,7291.285998,12539.00319,16640.13822,18480.47272,19506.95729,20209.93428,20789.51137,21272.32095,21706.72708,22106.86886,22473.21375,22771.69735,22952.53257,23045.74521,23092.68106,23102.97877,23068.97861,22983.22983,22844.7387,22664.00984,22444.68839,22188.92581,21894.51658,21555.38705,21172.11417,20756.82036,20318.58829,19856.54535,19359.19015,18823.59373,18259.04827,17672.5463,17065.02544,16437.43202
30: customers with PV,1674,8731.350674,15032.13709,17972.79264,19341.60055,20156.0187,20795.78531,21312.89873,21772.66191,22194.03342,22576.12074,22924.90404,23243.51291,23490.82945,23625.64213,23678.42021,23688.25602,23660.74699,23590.77025,23470.27132,23297.79009,23084.85588,22835.15279,22551.07762,22228.91919,21863.74413,21457.49286,21022.39242,20566.81144,20091.33066,19583.31842,19040.48135,18470.29379,17877.77417,17263.90844,16629.66982
31: customers with PV,1674,3654.241309,7291.285998,12539.00319,16640.13822,18480.47272,19506.95729,20209.93428,20789.51137,21272.32095,21700.79127,21982.06418,22139.41832,22211.24856,22194.03011,22081.59088,21884.34346,21624.35422,21315.61288,20939.33259,20491.89368,19994.79395,19456.55414,18880.73065,18267.49712,17615.45771,16924.62145,16197.9786,15445.15223,14665.76039,13855.59972,13015.06096,12152.43074,11275.10831,10384.46549,9481.474012
32: customers with PV,1674,8731.350674,15032.13709,17972.79264,19341.60055,20156.0187,20795.78531,21312.89873,21772.66191,22194.03342,22567.01204,22782.30384,22881.7405,22902.1992,22838.51726,22679.34443,22434.63723,22131.8926,21784.12831,21366.69797,20880.20932,20346.7343,19774.76057,19167.72968,18525.66884,17847.0177,17131.69001,16382.60571,15609.57189,14814.36565,13992.63057,13144.07131,12276.00653,11393.33112,10497.05806,9588.193247
33: customers with PV,1674,2158.214468,3114.148018,4725.235481,6760.576251,8873.886731,10916.22824,12842.19263,14576.86222,16022.21382,17088.42433,17879.50286,18509.87114,18999.40423,19365.85911,19624.54181,19792.73049,19900.95567,19965.74854,19984.83816,19960.21503,19894.68216,19789.92841,19649.62034,19480.56494,19282.63493,19055.67592,18800.22094,18518.22755,18209.85409,17874.6032,17512.96853,17127.05498,16719.01321,16290.67699,15843.05866
34: customers with PV,1674,3265.545077,5279.460366,7492.054728,9688.492419,11803.93817,13735.13515,15398.75382,16677.03067,17624.83815,18367.5806,18970.23055,19441.35773,19792.98763,20038.78546,20206.40061,20325.13977,20399.63438,20429.60459,20413.19594,20352.62307,20254.37142,20126.4472,19969.39589,19783.03012,19566.96779,19321.20347,19046.42506,18744.75764,18416.4972,18061.27077,17680.35086,17276.55868,16851.60849,16406.51435,15942.35552
35: customers with PV,1674,2158.214468,3114.148018,4725.235481,6760.576251,8873.886731,10916.22824,12842.19263,14572.49775,15990.71765,17026.7694,17773.82678,18348.3843,18775.35332,19077.78237,19271.25468,19373.49563,19415.2679,19413.28561,19365.46013,19273.94366,19141.73461,18970.62276,18764.33225,18529.82472,18267.13952,17976.2537,17657.82595,17313.92359,16944.82975,16550.17771,16130.579,15688.23297,15225.26043,14743.6426,14244.51206
36: customers with PV,1674,3265.545077,5279.460366,7492.054728,9688.492419,11803.93817,13735.13515,15398.75382,16668.20631,17583.88335,18293.58735,18847.67119,19259.19621,19545.7469,19725.469,19826.29368,19877.70633,19884.55464,19846.69371,19762.47678,19634.29646,19468.66433,19273.73271,19050.20581,18798.02855,18516.95437,18207.11103,17869.31258,17505.79286,17116.97124,16702.6032,16263.93214,15803.98435,15324.55834,14826.7545,14311.73108
37: customers with PV,1674,2158.214468,3114.148018,4725.235481,6760.576251,8873.886731,10916.22824,12842.19263,14576.86222,16022.21382,17087.29043,17871.14515,18485.67611,18949.68627,19276.99925,19481.16365,19580.24746,19602.78536,19556.94001,19433.01558,19227.53794,18938.05008,18561.95054,18103.95085,17559.71687,16922.22791,16185.30555,15344.79152,14401.09059,13351.97484,12194.95059,10932.58206,9575.17742,8134.666027,6624.411958,5066.933976
38: customers with PV,1674,3265.545077,5279.460366,7492.054728,9688.492419,11803.93817,13735.13515,15398.75382,16677.03067,17624.83815,18366.00355,18963.85694,19431.46501,19770.03143,19987.80129,20115.10745,20174.1569,20165.55324,20083.62777,19920.19909,19673.7687,19352.6075,18953.45163,18470.89972,17898.67976,17230.1123,16459.4258,15582.95234,14601.75323,13515.27642,12321.82183,11023.79814,9631.344743,8157.302422,6615.954581,5030.588155
39: customers with PV,1674,2158.214468,3114.148018,4725.235481,6760.576251,8873.886731,10916.22824,12842.19263,14572.43989,15987.67458,17014.47612,17743.09816,18286.19501,18665.95639,18900.87931,19002.86366,18989.77064,18890.56542,18711.11432,18440.15066,18072.79865,17606.61345,17038.40425,16372.03564,15602.56886,14722.99687,13727.81757,12614.53553,11386.71332,10045.97931,8594.762114,7042.211175,5409.339429,3733.110986,2049.487937,369.624271
40: customers with PV,1674,3265.545077,5279.460366,7492.054728,9688.492419,11803.93817,13735.13515,15398.75382,16668.00585,17580.00006,18279.91906,18817.89915,19209.5377,19460.52243,19582.86043,19606.33911,19551.47754,19418.4008,19199.99309,18886.57596,18475.8136,17975.2107,17380.62908,16686.14544,15885.20847,14971.26157,13939.34645,12787.62799,11520.51216,10141.38254,8653.685012,7066.768992,5401.566087,3696.659477,1989.519394,309.262957
41: customers with PV,1674,3794.188462,7981.923583,13754.54275,17358.60802,18952.17709,19852.80931,20537.314,21092.48021,21528.30548,21775.15035,21846.27844,21697.60591,21359.46372,20849.95005,20193.36991,19433.00097,18606.46722,17725.0006,16790.82568,15825.04026,14853.7294,13890.40745,12943.31507,12019.55309,11125.61132,10262.96621,9433.976498,8643.242016,7889.677219,7170.48352,6484.918187,5834.951206,5223.070609,4647.735424,4108.356101
42: customers with PV,1674,8874.49355,15355.69417,18170.94654,19495.01029,20305.53194,20947.67191,21470.74477,21945.06055,22309.67648,22486.04779,22479.67433,22259.04769,21850.50113,21273.07583,20552.26547,19732.6818,18852.74904,17923.79057,16947.77845,15945.69592,14943.5281,13957.29194,12997.96144,12067.92704,11168.18373,10300.1021,9466.046178,8670.622658,7912.728356,7189.540435,6500.298163,5846.912597,5231.819824,4653.611924,4111.520796
43: customers with PV,1674,3794.188462,7981.923583,13754.54275,17358.60802,18952.17709,19852.80931,20537.314,20970.14655,21213.41607,21259.00589,21057.19996,20616.10139,20005.15627,19254.78775,18391.58867,17458.36522,16490.67165,15498.64887,14483.88668,13464.53449,12462.3985,11487.69628,10545.82811,9639.853202,8774.884902,7951.279117,7169.327091,6431.338699,5734.996743,5078.656012,4460.59053,3882.968168,3345.37616,2843.301387,2372.843505
44: customers with PV,1674,8874.49355,15355.69417,18170.94654,19495.01029,20305.53194,20947.67191,21469.14951,21803.13815,21971.31454,21933.15184,21643.02677,21121.45337,20437.40708,19618.25475,18691.59091,17701.07305,16682.7362,15646.54576,14593.63511,13541.84255,12512.7059,11517.2248,10564.58486,9655.217266,8787.973285,7962.172891,7178.117831,6438.128804,5739.855634,5081.628087,4461.824225,3882.48346,3343.372345,2839.927991,2368.210314
45: customers with PV,1674,3794.188462,7981.923583,13754.54275,17358.60802,18952.17709,19852.80931,20537.314,21092.48021,21528.09209,21769.32386,21822.67676,21639.34203,21244.26258,20647.36767,19865.83629,18939.2178,17904.17931,16768.87167,15530.73855,14212.63943,12848.20964,11457.47561,10054.90413,8654.17088,7265.685589,5896.666236,4561.343648,3286.576595,2078.085477,912.046564,287.649735,255.317304,248.753222,245.194499,242.154395
46: customers with PV,1674,8874.49355,15355.69417,18170.94654,19495.01029,20305.53194,20947.67191,21470.74477,21945.06055,22309.38557,22480.43404,22459.03073,22208.07109,21746.27172,21084.3064,20239.56537,19253.04304,18162.64161,16977.06822,15693.90517,14336.21518,12937.86427,11523.27051,10107.09867,8697.343389,7300.380077,5923.550694,4580.934699,3299.569065,2085.960434,916.014752,287.595856,255.060549,248.452661,244.853643,241.776857
47: customers with PV,1674,3794.188462,7981.923583,13754.54275,17358.60802,18952.17709,19852.80931,20537.314,20968.37161,21201.76522,21224.70989,20979.22123,20462.77834,19738.41695,18827.7547,17750.27586,16548.16757,15259.73834,13894.82227,12452.58537,10956.68575,9440.71253,7924.528775,6422.208196,4945.643697,3516.216593,2149.073114,830.692859,264.138508,244.326608,239.754454,236.617183,234.023105,231.720109,229.578973,227.578489
48: customers with PV,1674,8874.49355,15355.69417,18170.94654,19495.01029,20305.53194,20947.67191,21469.14951,21801.40874,21960.61536,21901.57166,21570.91061,20977.84702,20183.01236,19204.83685,18063.51891,16801.90349,15459.484,14046.44411,12561.91845,11029.64261,9483.266641,7944.624966,6430.067365,4948.047159,3514.417634,2143.975961,823.075447,263.67003,244.372592,239.780621,236.582841,233.932596,231.579702,229.394366,227.354724
49: customers with PV,1674,2166.717426,3160.11634,4835.440673,6910.692411,9048.669079,11115.03833,13057.66749,14799.39845,16207.89568,17228.85519,17985.02159,18573.68775,19010.5214,19321.54703,19521.64694,19630.4633,19686.05938,19693.2758,19649.82252,19557.72265,19420.25995,19240.42971,19026.98853,18781.10164,18502.3271,18190.61895,17846.6405,17472.49994,17068.52814,16634.42178,16170.94733,15681.43004,15168.05987,14631.97418,14074.39393
50: customers with PV,1674,3275.146337,5313.532532,7546.030032,9765.692008,11905.37585,13853.01289,15519.53731,16785.54595,17709.73044,18435.38274,19011.10739,19443.56841,19747.00288,19940.96456,20063.59839,20132.21538,20151.86966,20122.34263,20041.67054,19912.95401,19747.82024,19549.12938,19317.21606,19051.97706,18753.13611,18420.81508,18055.84888,17660.52683,17235.38964,16781.29536,16299.31827,15791.74641,15260.50659,14706.8409,14132.06743
51: customers with PV,1674,2166.717426,3160.11634,4835.440673,6910.692411,9048.669079,11115.03833,13057.66749,14785.06813,16164.21953,17149.14636,17853.1903,18380.86551,18754.83362,19001.46054,19136.1979,19179.04536,19168.22779,19108.71979,18998.4845,18839.6546,18635.70911,18389.76187,18110.65158,17799.70707,17456.62443,17081.49461,16675.11202,16239.69993,15775.71958,15283.00381,14762.41452,14217.30201,13650.02158,13061.80549,12453.9624
52: customers with PV,1674,3275.146337,5313.532532,7546.030032,9765.692008,11905.37585,13853.01289,15519.53731,16764.34611,17656.56761,18341.20036,18860.43763,19229.05368,19467.29873,19595.14579,19651.01827,19652.39632,19604.49192,19507.28616,19359.01621,19162.90853,18930.67176,18665.32234,18367.32645,18036.71793,17673.36099,17277.51572,16850.14812,16393.66101,15908.69844,15396.18462,14857.37526,14294.64981,13710.02385,13104.83013,12480.46956
53: customers with PV,1674,2166.717426,3160.11634,4835.440673,6910.692411,9048.669079,11115.03833,13057.66749,14799.39845,16207.71721,17224.39835,17967.90101,18532.69176,18931.26195,19191.10392,19321.40565,19336.02639,19269.74782,19117.75075,18867.99683,18514.27666,18054.13328,17490.81218,16819.83717,16032.07052,15118.03507,14069.5036,12881.06947,11553.37276,10085.51181,8478.576982,6739.384393,4889.090003,2970.173632,1005.674383,219.51742
54: customers with PV,1674,3275.146337,5313.532532,7546.030032,9765.692008,11905.37585,13853.01289,15519.53731,16785.54595,17709.30135,18430.74284,19007.19647,19434.265,19714.32548,19865.6834,19927.38259,19905.9105,19802.11536,19608.52941,19314.31862,18923.62224,18436.28436,17845.31512,17142.85401,16320.15091,15368.17837,14279.24785,13048.94357,11679.89317,10171.44898,8524.058187,6745.390309,4857.672086,2905.584378,912.321544,220.65523
55: customers with PV,1674,2166.717426,3160.11634,4835.440673,6910.692411,9048.669079,11115.03833,13057.66749,14784.21187,16157.32417,17128.44555,17806.48874,18290.77185,18600.13912,18760.07867,18779.44891,18671.95932,18470.82155,18168.83372,17752.31932,17213.09276,16548.25707,15760.39158,14843.33911,13787.52295,12583.70024,11224.98987,9708.960028,8041.596613,6228.932213,4286.685176,2253.651757,203.69086,219.784389,217.079433,214.538278
